country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,weighted_win_count,score,rank,country_quantile
Australia,0.5925925925925926,420,47,27,15.166666666666664,10.0,1,4
England,0.6875,395,33,16,22.5,9.048794121014787,2,4
New Zealand,0.5882352941176471,489,11,17,29.333333333333332,8.685080572653249,3,3
South Africa,0.6666666666666666,359,28,15,20.0,8.274677430133883,4,3
India,0.4,190,19,10,2.5,4.145977875293077,5,2
Pakistan,0.4,262,4,10,3.333333333333333,3.861236117034754,6,2
West Indies,0.3333333333333333,162,8,12,1.3333333333333333,3.3519486625575734,7,1
Sri Lanka,0.18181818181818182,82,0,11,4.5,2.112409752405181,8,1
Bangladesh,0.16666666666666666,34,0,6,0.3333333333333333,1.0,9,1
